Module	Section	Sample Name	Source
FastQC	all_sections	H3HHMBGXF_12h_N_1_20s000251-1-1_Triana_lane120s000251	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_12h_N_1_20s000251_1_1_Triana_lane120s000251_fastqc.zip
FastQC	all_sections	HH7WMBGXF_6h_N_4_20s000999-1-1_Triana_lane120s000999	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/HH7WMBGXF_6h_N_4_20s000999_1_1_Triana_lane120s000999_fastqc.zip
FastQC	all_sections	H3HHMBGXF_D2_N_1_20s000255-1-1_Triana_lane120s000255	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_D2_N_1_20s000255_1_1_Triana_lane120s000255_fastqc.zip
FastQC	all_sections	H3HHMBGXF_D1_H_1_20s000258-1-1_Triana_lane120s000258	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_D1_H_1_20s000258_1_1_Triana_lane120s000258_fastqc.zip
FastQC	all_sections	H3CGFBGXF_D2_N_4_20s000266-1-1_Triana_lane120s000266	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_D2_N_4_20s000266_1_1_Triana_lane120s000266_fastqc.zip
FastQC	all_sections	H3HHMBGXF_12h_H_1_20s000257-1-1_Triana_lane120s000257	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_12h_H_1_20s000257_1_1_Triana_lane120s000257_fastqc.zip
FastQC	all_sections	H3HHMBGXF_D1_H_2_20s000259-1-1_Triana_lane120s000259	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_D1_H_2_20s000259_1_1_Triana_lane120s000259_fastqc.zip
FastQC	all_sections	H3CGFBGXF_D1_H_4_20s000269-1-1_Triana_lane120s000269	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_D1_H_4_20s000269_1_1_Triana_lane120s000269_fastqc.zip
FastQC	all_sections	HH7WMBGXF_6h_N_1_20s000996-1-1_Triana_lane120s000996	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/HH7WMBGXF_6h_N_1_20s000996_1_1_Triana_lane120s000996_fastqc.zip
FastQC	all_sections	HH7WMBGXF_6h_H_1_20s001000-1-1_Triana_lane120s001000	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/HH7WMBGXF_6h_H_1_20s001000_1_1_Triana_lane120s001000_fastqc.zip
FastQC	all_sections	HH7WMBGXF_6h_H_2_20s001001-1-1_Triana_lane120s001001	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/HH7WMBGXF_6h_H_2_20s001001_1_1_Triana_lane120s001001_fastqc.zip
FastQC	all_sections	HH7WMBGXF_6h_H_4_20s001003-1-1_Triana_lane120s001003	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/HH7WMBGXF_6h_H_4_20s001003_1_1_Triana_lane120s001003_fastqc.zip
FastQC	all_sections	H3HHMBGXF_12h_N_2_20s000252-1-1_Triana_lane120s000252	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_12h_N_2_20s000252_1_1_Triana_lane120s000252_fastqc.zip
FastQC	all_sections	H3HHMBGXF_D2_H_1_20s000260-1-1_Triana_lane120s000260	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_D2_H_1_20s000260_1_1_Triana_lane120s000260_fastqc.zip
featureCounts	all_sections	H3CGFBGXF_D2_H_4_20s000271-1-1_Triana_lane120s000271	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3CGFBGXF_D1_N_4_20s000264-1-1_Triana_lane120s000264	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_D1_N_1_20s000253-1-1_Triana_lane120s000253	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_D2_H_2_20s000261-1-1_Triana_lane120s000261	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	HH7WMBGXF_6h_H_3_20s001002-1-1_Triana_lane120s001002	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3CGFBGXF_D1_N_3_20s000263-1-1_Triana_lane120s000263	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3CGFBGXF_12h_H_3_20s000267-1-1_Triana_lane120s000267	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_D1_N_2_20s000254-1-1_Triana_lane120s000254	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3CGFBGXF_12h_N_3_20s000262-1-1_Triana_lane120s000262	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	HH7WMBGXF_6h_N_3_20s000998-1-1_Triana_lane120s000998	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3CGFBGXF_D1_H_3_20s000268-1-1_Triana_lane120s000268	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	HH7WMBGXF_6h_N_2_20s000997-1-1_Triana_lane120s000997	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3CGFBGXF_D2_H_3_20s000270-1-1_Triana_lane120s000270	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_D2_N_2_20s000256-1-1_Triana_lane120s000256	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3CGFBGXF_D2_N_3_20s000265-1-1_Triana_lane120s000265	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_12h_N_1_20s000251-1-1_Triana_lane120s000251	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	HH7WMBGXF_6h_N_4_20s000999-1-1_Triana_lane120s000999	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_D2_N_1_20s000255-1-1_Triana_lane120s000255	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_D1_H_1_20s000258-1-1_Triana_lane120s000258	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3CGFBGXF_D2_N_4_20s000266-1-1_Triana_lane120s000266	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_12h_H_1_20s000257-1-1_Triana_lane120s000257	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_D1_H_2_20s000259-1-1_Triana_lane120s000259	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3CGFBGXF_D1_H_4_20s000269-1-1_Triana_lane120s000269	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	HH7WMBGXF_6h_N_1_20s000996-1-1_Triana_lane120s000996	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	HH7WMBGXF_6h_H_1_20s001000-1-1_Triana_lane120s001000	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	HH7WMBGXF_6h_H_2_20s001001-1-1_Triana_lane120s001001	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	HH7WMBGXF_6h_H_4_20s001003-1-1_Triana_lane120s001003	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_12h_N_2_20s000252-1-1_Triana_lane120s000252	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
featureCounts	all_sections	H3HHMBGXF_D2_H_1_20s000260-1-1_Triana_lane120s000260	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/data/counts/hypoxia_counts.summary
