Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
H3HHMBGXF_12h_N_2_20s000252-1-1_Triana_lane120s000252	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	43897733.0	pass	warn	warn	48.0	37.1896579419	H3HHMBGXF_12h_N_2_20s000252-1-1_Triana_lane120s000252.fastq.gz	pass	pass
H3HHMBGXF_D1_H_1_20s000258-1-1_Triana_lane120s000258	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	47236918.0	pass	warn	warn	49.0	34.2249916356	H3HHMBGXF_D1_H_1_20s000258-1-1_Triana_lane120s000258.fastq.gz	pass	pass
H3HHMBGXF_D1_H_2_20s000259-1-1_Triana_lane120s000259	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	46791228.0	pass	warn	warn	49.0	34.6673876671	H3HHMBGXF_D1_H_2_20s000259-1-1_Triana_lane120s000259.fastq.gz	pass	pass
H3HHMBGXF_D1_N_1_20s000253-1-1_Triana_lane120s000253	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	40737799.0	pass	warn	warn	48.0	37.9377508082	H3HHMBGXF_D1_N_1_20s000253-1-1_Triana_lane120s000253.fastq.gz	pass	pass
H3HHMBGXF_D1_N_2_20s000254-1-1_Triana_lane120s000254	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	43021510.0	pass	fail	warn	48.0	36.5317998556	H3HHMBGXF_D1_N_2_20s000254-1-1_Triana_lane120s000254.fastq.gz	pass	pass
H3HHMBGXF_D2_H_1_20s000260-1-1_Triana_lane120s000260	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	52887043.0	pass	warn	warn	49.0	31.477741533	H3HHMBGXF_D2_H_1_20s000260-1-1_Triana_lane120s000260.fastq.gz	pass	pass
H3HHMBGXF_D2_H_2_20s000261-1-1_Triana_lane120s000261	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	54497874.0	pass	warn	warn	49.0	31.1385163756	H3HHMBGXF_D2_H_2_20s000261-1-1_Triana_lane120s000261.fastq.gz	pass	pass
H3HHMBGXF_D2_N_1_20s000255-1-1_Triana_lane120s000255	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	46702980.0	pass	warn	warn	48.0	37.5702659582	H3HHMBGXF_D2_N_1_20s000255-1-1_Triana_lane120s000255.fastq.gz	pass	pass
H3HHMBGXF_D2_N_2_20s000256-1-1_Triana_lane120s000256	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	51233674.0	pass	warn	warn	48.0	34.9777005503	H3HHMBGXF_D2_N_2_20s000256-1-1_Triana_lane120s000256.fastq.gz	pass	pass
HH7WMBGXF_6h_H_1_20s001000-1-1_Triana_lane120s001000	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	75401288.0	pass	fail	warn	48.0	30.9262566249	HH7WMBGXF_6h_H_1_20s001000-1-1_Triana_lane120s001000.fastq.gz	pass	pass
HH7WMBGXF_6h_H_2_20s001001-1-1_Triana_lane120s001001	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	80417544.0	pass	fail	warn	48.0	29.2055004402	HH7WMBGXF_6h_H_2_20s001001-1-1_Triana_lane120s001001.fastq.gz	pass	pass
HH7WMBGXF_6h_H_3_20s001002-1-1_Triana_lane120s001002	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	69292846.0	pass	fail	warn	48.0	31.377382778	HH7WMBGXF_6h_H_3_20s001002-1-1_Triana_lane120s001002.fastq.gz	pass	pass
HH7WMBGXF_6h_H_4_20s001003-1-1_Triana_lane120s001003	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	75297563.0	pass	fail	warn	48.0	29.5912228093	HH7WMBGXF_6h_H_4_20s001003-1-1_Triana_lane120s001003.fastq.gz	pass	pass
HH7WMBGXF_6h_N_1_20s000996-1-1_Triana_lane120s000996	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	68706281.0	pass	fail	pass	48.0	32.2160530106	HH7WMBGXF_6h_N_1_20s000996-1-1_Triana_lane120s000996.fastq.gz	pass	pass
HH7WMBGXF_6h_N_2_20s000997-1-1_Triana_lane120s000997	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	58415853.0	pass	fail	warn	48.0	34.0862654586	HH7WMBGXF_6h_N_2_20s000997-1-1_Triana_lane120s000997.fastq.gz	pass	pass
HH7WMBGXF_6h_N_3_20s000998-1-1_Triana_lane120s000998	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	79600794.0	pass	fail	pass	48.0	29.9491513582	HH7WMBGXF_6h_N_3_20s000998-1-1_Triana_lane120s000998.fastq.gz	pass	pass
HH7WMBGXF_6h_N_4_20s000999-1-1_Triana_lane120s000999	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	66485215.0	pass	fail	pass	48.0	31.4135706211	HH7WMBGXF_6h_N_4_20s000999-1-1_Triana_lane120s000999.fastq.gz	pass	pass
